name,capital,currency,population,timestamp
Tuvalu,Funafuti,Dollar,10472,2023-09-05 13:28:39.974926
U.S. Virgin Islands,Charlotte Amalie,Dollar,108708,2023-09-05 13:28:39.974926
Uganda,Kampala,Shilling,33398682,2023-09-05 13:28:39.974926
Ukraine,Kiev,Hryvnia,45415596,2023-09-05 13:28:39.974926
United Arab Emirates,Abu Dhabi,Dirham,4975593,2023-09-05 13:28:39.974926
United Kingdom,London,Pound,62348447,2023-09-05 13:28:39.974926
United States,Washington,Dollar,310232863,2023-09-05 13:28:39.974926
United States Minor Outlying Islands,,Dollar,0,2023-09-05 13:28:39.974926
Uruguay,Montevideo,Peso,3477000,2023-09-05 13:28:39.974926
Uzbekistan,Tashkent,Som,27865738,2023-09-05 13:28:39.974926
Vanuatu,Port Vila,Vatu,221552,2023-09-05 13:28:39.974926
Vatican,Vatican City,Euro,921,2023-09-05 13:28:39.974926
Venezuela,Caracas,Bolivar,27223228,2023-09-05 13:28:39.974926
Vietnam,Hanoi,Dong,89571130,2023-09-05 13:28:39.974926
Wallis and Futuna,Mata Utu,Franc,16025,2023-09-05 13:28:39.974926
Western Sahara,El-Aaiun,Dirham,273008,2023-09-05 13:28:39.974926
Yemen,Sanaa,Rial,23495361,2023-09-05 13:28:39.974926
Zambia,Lusaka,Kwacha,13460305,2023-09-05 13:28:39.974926
Zimbabwe,Harare,Dollar,11651858,2023-09-05 13:28:39.974926
